MATCH,W/L,,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
5-May-18,W,41,38,14,26,53.8,1,4,25,9,11,81.8,1,5,6,7,3,1,4,1,2
3-May-18,W,41,43,19,28,67.9,1,3,33.3,4,8,50,1,7,8,14,1,0,1,1,20
1-May-18,W,47,26,12,30,40,1,8,12.5,1,6,16.7,0,11,11,13,1,2,1,2,5
29-Apr-18,W,43,45,16,25,64,2,3,66.7,11,15,73.3,2,6,8,7,4,0,4,4,-2
27-Apr-18,L,31,22,7,16,43.8,3,6,50,5,5,100,0,5,5,7,1,2,4,3,-24
25-Apr-18,W,42,44,14,24,58.3,1,4,25,15,15,100,3,7,10,8,1,1,5,3,2
22-Apr-18,W,46,32,12,22,54.5,0,5,0,8,9,88.9,2,11,13,7,0,2,1,3,3
20-Apr-18,L,42,28,10,22,45.5,4,7,57.1,4,6,66.7,3,9,12,8,1,1,6,1,-1
18-Apr-18,W,40,46,17,24,70.8,2,5,40,10,13,76.9,1,11,12,5,2,0,3,1,7
15-Apr-18,L,44,24,7,17,41.2,0,4,0,10,14,71.4,3,7,10,12,1,1,3,2,-1
2-Jan-18,W,34,24,10,17,58.8,0,2,0,4,4,100,1,5,6,8,4,1,3,,
3-Jan-18,L,33,19,8,15,53.3,0,2,0,3,3,100,0,7,7,6,1,1,4,,
6-Jan-18,W,37,33,12,23,52.2,4,7,57.1,5,7,71.4,3,7,10,9,6,1,3,,
8-Jan-18,L,27,10,4,8,50,1,3,33.3,1,3,33.3,1,7,8,5,0,2,3,,
11-Jan-18,L,32,26,9,16,56.3,0,1,0,8,10,80,0,3,3,1,1,2,2,,
12-Jan-18,L,40,27,11,25,44,2,9,22.2,3,4,75,2,6,8,11,3,1,5,,
15-Jan-18,L,36,32,12,18,66.7,0,2,0,8,13,61.5,2,6,8,6,3,4,8,,
18-Jan-18,W,35,16,7,16,43.8,0,4,0,2,8,25,1,4,5,6,1,0,6,,
20-Jan-18,L,38,18,8,17,47.1,0,4,0,2,4,50,0,3,3,7,0,1,2,,
23-Jan-18,L,38,28,10,23,43.5,2,6,33.3,6,10,60,2,7,9,7,0,1,5,,
26-Jan-18,W,40,26,11,17,64.7,0,2,0,4,5,80,0,10,10,11,4,1,11,,
28-Jan-18,W,38,25,8,15,53.3,1,4,25,8,9,88.9,1,7,8,14,1,0,3,,
30-Jan-18,L,38,21,9,20,45,2,7,28.6,1,2,50,0,6,6,7,0,1,4,,
31-Jan-18,W,38,24,8,21,38.1,1,6,16.7,7,11,63.6,2,9,11,5,1,0,7,,
3-Feb-18,L,31,11,3,10,30,1,2,50,4,4,100,1,8,9,9,2,1,2,,
6-Feb-18,L,33,25,10,17,58.8,2,4,50,3,4,75,1,9,10,5,1,0,6,,
7-Feb-18,W,48,37,16,22,72.7,5,7,71.4,0,2,0,1,9,10,15,1,1,5,,
9-Feb-18,W,41,22,8,20,40,0,3,0,6,7,85.7,2,10,12,19,0,0,3,,
11-Feb-18,W,28,24,9,20,45,2,5,40,4,7,57.1,0,8,8,10,1,1,2,,
13-Feb-18,W,40,37,14,23,60.9,3,7,42.9,6,10,60,0,8,8,8,0,1,5,,
22-Feb-18,L,37,32,13,18,72.2,1,4,25,5,9,55.6,1,8,9,8,2,0,4,,
23-Feb-18,W,37,18,7,16,43.8,0,2,0,4,4,100,0,14,14,11,1,0,3,,
25-Feb-18,L,40,33,14,25,56,2,5,40,3,4,75,2,11,13,9,1,0,6,,
27-Feb-18,W,39,31,13,25,52,2,4,50,3,3,100,4,8,12,11,1,0,1,,
1-Mar-18,L,39,30,12,24,50,2,6,33.3,4,6,66.7,1,8,9,8,1,0,3,,
3-Mar-18,L,42,25,8,19,42.1,1,4,25,8,11,72.7,1,9,10,15,2,0,3,,
5-Mar-18,W,29,31,11,17,64.7,5,7,71.4,4,6,66.7,2,5,7,7,1,0,3,,
7-Mar-18,W,39,39,15,25,60,5,8,62.5,4,8,50,1,7,8,10,1,0,3,,
9-Mar-18,L,39,25,11,20,55,3,7,42.9,0,2,0,0,10,10,6,2,3,5,,
11-Mar-18,L,31,24,9,20,45,2,8,25,4,5,80,2,8,10,7,1,1,2,,
13-Mar-18,W,33,28,7,14,50,1,2,50,13,15,86.7,0,12,12,11,3,2,5,,
15-Mar-18,L,41,35,15,25,60,1,4,25,4,9,44.4,0,14,14,6,2,3,6,,
17-Mar-18,W,40,33,15,26,57.7,2,8,25,1,4,25,1,12,13,12,1,2,6,,
19-Mar-18,W,40,40,16,29,55.2,3,7,42.9,5,8,62.5,5,7,12,10,2,1,6,,
21-Mar-18,W,39,35,11,19,57.9,1,3,33.3,12,14,85.7,1,6,7,17,1,0,0,,
23-Mar-18,W,29,27,11,16,68.8,1,4,25,4,6,66.7,0,6,6,9,1,1,4,,
25-Mar-18,W,38,37,14,19,73.7,1,4,25,8,10,80,2,8,10,8,1,0,2,,
27-Mar-18,L,38,18,7,18,38.9,0,4,0,4,5,80,1,5,6,7,0,0,6,,
28-Mar-18,W,37,41,14,26,53.8,4,8,50,9,11,81.8,2,8,10,8,1,0,4,,
30-Mar-18,W,42,27,12,24,50,0,4,0,3,3,100,1,8,9,11,1,0,1,,
1-Apr-18,W,39,16,5,21,23.8,2,3,66.7,4,4,100,3,10,13,12,0,0,2,,
3-Apr-18,W,37,27,8,14,57.1,3,6,50,8,11,72.7,0,10,10,6,0,0,5,,
5-Apr-18,W,39,33,12,20,60,2,7,28.6,7,10,70,2,7,9,14,0,0,6,,
6-Apr-18,L,40,44,17,29,58.6,4,8,50,6,11,54.5,1,10,11,11,2,1,8,,
9-Apr-18,W,39,26,7,16,43.8,3,6,50,9,10,90,0,6,6,11,1,0,4,,
11-Apr-18,L,11,10,4,9,44.4,0,2,0,2,3,66.7,1,4,5,2,1,0,3,,
17-Oct-17,W,41,29,12,19,63.2,1,5,20,4,4,100,1,15,16,9,0,2,4,,
20-Oct-17,W,37,24,10,16,62.5,2,4,50,2,2,100,1,4,5,8,1,1,5,,
21-Oct-17,L,31,22,8,15,53.3,1,3,33.3,5,6,83.3,0,4,4,2,1,1,1,,
24-Oct-17,W,37,34,13,20,65,4,6,66.7,4,5,80,0,2,2,13,3,0,2,,
25-Oct-17,L,41,29,12,20,60,1,2,50,4,8,50,1,9,10,13,0,4,8,,
28-Oct-17,L,31,18,6,11,54.5,1,3,33.3,5,6,83.3,0,3,3,8,0,0,4,,
29-Oct-17,L,39,16,7,15,46.7,1,4,25,1,1,100,1,9,10,7,2,0,4,,
1-Nov-17,L,37,33,14,22,63.6,1,5,20,4,5,80,1,5,6,11,2,1,8,,
3-Nov-17,W,43,57,23,34,67.6,2,4,50,9,9,100,5,6,11,7,3,2,3,,
5-Nov-17,L,41,26,10,17,58.8,0,3,0,6,6,100,2,3,5,13,1,2,6,,
7-Nov-17,W,37,30,10,20,50,2,4,50,8,10,80,1,7,8,9,3,0,1,,
9-Nov-17,L,40,33,15,24,62.5,1,4,25,2,3,66.7,0,4,4,7,1,1,8,,
11-Nov-17,W,42,19,6,14,42.9,1,3,33.3,6,8,75,1,10,11,4,0,1,6,,
13-Nov-17,W,36,23,7,14,50,2,4,50,7,10,70,3,6,9,12,0,3,5,,
15-Nov-17,W,37,31,12,24,50,4,7,57.1,3,3,100,2,4,6,8,2,1,3,,
17-Nov-17,W,46,39,17,26,65.4,4,9,44.4,1,5,20,1,13,14,6,0,0,6,,
20-Nov-17,W,27,18,7,14,50,3,5,60,1,1,100,0,2,2,8,1,1,0,,
22-Nov-17,W,33,33,11,17,64.7,4,7,57.1,7,9,77.8,1,5,6,5,2,0,3,,
24-Nov-17,W,40,27,10,20,50,3,8,37.5,4,7,57.1,1,15,16,13,0,3,3,,
27-Nov-17,W,31,30,12,23,52.2,3,7,42.9,3,4,75,3,11,14,6,0,0,3,,
28-Nov-17,W,28,21,10,16,62.5,1,3,33.3,0,1,0,2,10,12,6,5,1,2,,
30-Nov-17,W,38,24,8,11,72.7,3,6,50,5,7,71.4,1,5,6,12,2,2,3,,
2-Dec-17,W,39,34,13,22,59.1,0,3,0,8,8,100,0,2,2,12,0,1,5,,
4-Dec-17,W,34,23,9,15,60,2,4,50,3,4,75,0,7,7,6,2,0,2,,
6-Dec-17,W,41,32,12,18,66.7,5,8,62.5,3,6,50,2,9,11,9,3,2,7,,
8-Dec-17,L,39,29,12,22,54.5,1,5,20,4,5,80,2,8,10,8,1,2,3,,
9-Dec-17,W,39,30,9,23,39.1,2,6,33.3,10,12,83.3,3,10,13,13,3,0,6,,
12-Dec-17,W,35,25,11,13,84.6,2,3,66.7,1,2,50,0,7,7,17,2,0,2,,
14-Dec-17,W,39,25,8,18,44.4,1,6,16.7,8,12,66.7,1,11,12,12,2,2,5,,
16-Dec-17,W,37,29,9,15,60,1,4,25,10,10,100,0,11,11,10,1,0,5,,
17-Dec-17,W,41,20,8,23,34.8,2,7,28.6,2,3,66.7,2,9,11,15,0,1,6,,
19-Dec-17,L,34,39,14,22,63.6,6,11,54.5,5,5,100,0,1,1,7,3,2,7,,
21-Dec-17,W,39,34,12,23,52.2,2,5,40,8,8,100,1,5,6,9,3,0,4,,
25-Dec-17,L,40,20,7,18,38.9,2,7,28.6,4,7,57.1,1,5,6,6,0,0,7,,
27-Dec-17,L,38,16,6,17,35.3,0,2,0,4,5,80,2,8,10,14,5,0,4,,
30-Dec-17,L,37,29,12,22,54.5,1,7,14.3,4,5,80,1,7,8,6,2,1,6,,
