"","text"
"1","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"2","Is that a 30 point lead??Ì†ΩÌ∏Ç

#Cavs"
"3","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"4","RT @WMB72buckeye: Hey @DeMar_DeRozan warm up the bus 'cuz @raptors just got swept again! @cavs #WhateverItTakes https://t.co/lBO07FM856"
"5","RT @jacobfink8: Even if the Cavs pull this out and then beat the Raptors, they‚Äôre getting swept by the Sixers."
"6","RT @JoJoF30: Well... at least the @Cavs are about to win and sweep the @Raptors! #WhateverItTakes #OnToTheNextOne @KingJames Ì†ºÌøÄ‚õπÌ†ºÌøæ"
"7","@Cavsanada That‚Äôs the irony. They win its Lebron. They lose its him and love. It‚Äôs annoying. He had his own shit to‚Ä¶ https://t.co/bNQ3YrUwHL"
"8","Cavs going to the next round Ì†ΩÌ∏Ä"
"9","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"10","@elegantmani the score of this Tor and Cavs game is exactly why I never  pick the Cavs when we play I never wanna do u that bad Ì†ΩÌ∏Ç"
"11","RT @Soslamy23: Who remembers earlier in the season before the trade when everyone thought the cavs wouldn't even be in the Eastern Conferen‚Ä¶"
"12","RT @NBA: JR Smith is up to 9 PTS on 4-4 shooting!

9-2 @cavs run in the 1st on @NBAonTNT 

#WhateverItTakes https://t.co/x21bKFF4IL"
"13","RT @DG92_TO: ‚Äú1 seed, 2 seed, chia seed, sunflower seed, pumpkin seed. Don‚Äôt matter, Cavs in 4!‚Äù https://t.co/SDMDiT47Ql"
"14","IT watching the Cavs from home https://t.co/FqytPK3C1e"
"15","Cavs are just embarrassing the Raptors right now. LOVE it"
"16","RT @TeamLeBron_: Here comes the annual ‚ÄúCavs won‚Äôt make the Finals! This is the Raptors‚Äô year‚Äù

To ‚Äúthe east is wack‚Äù

Smdh Ì†æÌ¥¶Ì†ºÌøº‚Äç‚ôÇÔ∏è"
"17","RT @NBA: LeBron James gets to his spot!

@cavs in control on @NBAonTNT

#WhateverItTakes https://t.co/7XTxrPq9MD"
"18","RT @CavsJoeG: More #Cavs: @KingJames, 10pts, 4-7FG, 7asst, 6reb; @kevinlove, 11pts, 4-8FG, 2reb, 2stl; @TheRealJRSmith, 15pts, 6-6FG, 3-3 3‚Ä¶"
"19","RT @LBJ23_Fan: Throwback to this gem of a quote from LeBron. 

I don‚Äôt think those reporters took him seriously, but the #4 seed Cavs just‚Ä¶"
"20","So the Cavs are the Second lower seed to Sweep the higher seed in NBA playoffs history (2018 Pelicans 1st)
#WhateverItTakes #NBAPlayoffs"
"21","RT @twithersAP: #Cavs up 30, LeBron calls timeout and heads to bench."
"22","@rbett @cavs @Raptors Fuck off asshole"
"23","RT @cavs: LEBRON. JAMES. #WhateverItTakes https://t.co/5JBmeBhQLc"
"24","RT @RealSkipBayless: The Cavs will sweep the Raptors."
"25","Y‚Äôall know last series only one player on the cavs team score over 20 points in any of the games.."
"26","CAVS IN 4"
"27","#Cavs really running a scrimmage with the Raptors...getting extra PT before the ECF"
"28","RT @YacusLoPrende: Voy a pasar esta escobita por el TL pa' que vayan barriendo a Toronto de la cancha. #Cavs https://t.co/vPYe9HoH9s"
