DATE,CLE PTS,Raptors PTS,LBJ PTS,LBJ_PCG
5/5/18,105,103,38,0.36
5/3/18,128,110,43,0.34
5/1/18,113,112,46,0.41
4/3/18,112,106,37,0.33
3/21/18,132,129,35,0.27
1/11/18,99,133,26,0.26
5/7/17,109,102,35,0.32
5/5/17,115,94,35,0.3
5/3/17,125,103,39,0.31
5/1/17,116,105,35,0.3
12/5/16,116,112,34,0.29
11/15/16,121,117,28,0.23
10/28/16,94,91,21,0.22
5/27/16,113,87,33,0.29
5/25/16,116,78,23,0.2
5/23/16,99,105,29,0.29
5/21/16,84,99,24,0.29
5/19/16,108,89,23,0.21
5/17/16,115,84,24,0.21
2/26/16,97,99,25,0.26
1/4/16,122,100,20,0.16
11/25/15,99,103,24,0.24
3/4/15,120,112,29,0.24
12/9/14,105,101,35,0.33
12/5/14,105,91,24,0.23
