"","text"
"1","That‚Äôs enough of outta you @Raptors https://t.co/jhUmxg21nM"
"2","6 days ago, LeGod James and company called for the great extinction event of the Raptors.

6 days later, the Raptor‚Ä¶ https://t.co/mxiDVRP0Gn"
"3","Maybe the raptors could have won if Kyle Lowry and DeMar DeRozan would have gotten normal tapers, they got those, ‚Äú‚Ä¶ https://t.co/EuABM7THnk"
"4","My son claims to be a Raptors fan... I'm gonna make so much fun of him."
"5","@CJSportsNut @Paul__Jones @Raptors Yes it does. It matters for potential suspensions."
"6","RT @stephenasmith: Damn! @Raptors getting their butts whupped. Still won‚Äôt double @KingJames. Look like they‚Äôve quit. Could cost Dwayne Cas‚Ä¶"
"7","not only do i got the stress of finals, but now i got derozan getting ejected in the third and the raptors boutta get swept .-."
"8","Raptors should do the following:

1. Fire Dwane Casey and appoint Jerry Stackhouse head coach

2. Trade DeRozan for‚Ä¶ https://t.co/npbmKt4Jk1"
"9","RT @KingJosiah54: ‚ÄúHow the LeBronto Raptors get swept?‚Äù

Drake: https://t.co/2eJTB5ptKD"
"10","raptors choker"
"11","I liked a @YouTube video https://t.co/A7KcQD1YCR Raptors vs Cavs Game 4 | Live Watch Party &amp; Reactions"
"12","I am available @Raptors. No less than $10 mil tho."
"13","RT @MovistarNBA: Los Playoffs de Toronto Raptors, descripci√≥n gr√°fica. #TiempoDePlayoffs https://t.co/NuhdtfMboc"
"14","RT @BleacherReport: LEBRONTOSAURUS.

The disrespect for the Raptors continues Ì†ΩÌ∏¨ https://t.co/DO2hB0guEE"
"15","RT @HeatvsHaters: Seriously, how deflating is this:
First, You get swept by LeBron &amp; Cavs

Next season, you get a franchise record in wins.‚Ä¶"
"16","How in the F*CK every year my @Raptors get swept by the F*UCKING @cavs Plus this year they all suck except for @KingJames"
"17","RT @gabbydario: .@Raptors https://t.co/06uAAIrOUr"
"18","RT @brandom52: @DragonflyJonez LeBron is an all time great . But, maybe, just maybe, the Raptors are the frauds we always knew them to be."
"19","I would hate to be a Raptors fan Ì†ΩÌ∏Ç"
"20","Raptors gotta stop wasting people's time. Every year they do this Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç"
"21","Raptors raptors raptors...."
"22","Bahahahha les Cavs qui passent ""God's plan"" pendant que les Raptors se font salir ‚ù§‚ù§‚ù§‚ù§"
"23","RT @theScore: After 3 quarters...
Raptors - 72
Cavaliers - 100 https://t.co/14HIpCiXs0"
"24","RT @kojo_pram: @Raptors  https://t.co/rS9j5zd3Nw"
"25","RT @LaJethroJenkins: Lebron ain‚Äôt gonna be able to Lebron himself past those Raptors tho."
"26","RT @ExpertoNBA: DeMar Derozan Out
Toronto Raptors Out
Dwane Casey Out
Drake Out"
"27","RT @SpongeBobSports: the Cavs-Raptors series summarized in one gif: https://t.co/dusBl1dZLk"
"28","Which is a more upsetting series loss? Pacers losing to LeBron, again, but in 7, or the Raptors losing to the Cavs, again, but in 4?"
"29","RT @DArealtrustory: ITS A WHOLE ASS QUARTER LEFT @Raptors AT LEAST PINCH THE BITCH!"
"30","I swear the Raptors should be banned from the playoffs ‚Äî what‚Äôs the point?"
"31","Coach Kept Demar out of the 4th quarter in game 3......NBA Refs and the Raptors play kept Demar out of the  4th qua‚Ä¶ https://t.co/kBeWTKieBm"
"32","The Raptors kryptonite = Lebron James"
"33","Goodbye Raptors, you will forever remain LeBron's kids."
"34","Raptors are in a weird spot because they have bloated/bad vet contracts, while also having some really good young p‚Ä¶ https://t.co/jP0dcaXwoA"
"35","I can‚Äôt find the word to describe the Raptors"
"36","RT @mattufford: I respect the hell out of what the Raptors have done tonight. Any other team would have wasted our time by fighting the nar‚Ä¶"
"37","It's time to pull the plug on this @Raptors"
"38","That‚Äôs a flagrant 2??? Lol the raptors never had a chance they play defense twice in one possession.."
"39","RT @therealbradg: People thinking the Raptors won't implode in the playoffs is my new favorite tradition. At least Paul Pierce is out west‚Ä¶"
"40","I never want to watch the Raptors in the playoffs ever again. What a bunch of phonies."
"41","#Raptors #Wethenorth #NorthOverEverything #Toronto #NBA #WhateverItTakes https://t.co/Bn2Ccbiv17"
"42","RT @LBJ23_Fan: Throwback to this gem of a quote from LeBron. 

I don‚Äôt think those reporters took him seriously, but the #4 seed Cavs just‚Ä¶"
"43","RT @bomani_jones: raptors wanna throw the controller through the tv."
"44","@RealSkipBayless Nah skip he just had to get that quick thirty ball and make sure the Raptors had completely given‚Ä¶ https://t.co/RDZzo3ROba"
"45","Raptors just let Lebron Sweep Them By hisself"
"46","RT @ericsports: DeMar DeRozan makes $83 Million the next 3 seasons

Kyle Lowry makes $64 Million the next 2 seasons

Serge Ibaka makes $45‚Ä¶"
"47","I feel bad for the Raptors, they changed their whole system just for this very moment. To beat LeBron just so he co‚Ä¶ https://t.co/jit2j2cASc"
